,label,label_coarse,confidence,error
0,tench,fish,0.23596261,1.4440823
1,tench,fish,0.8365903,0.17842102
2,tench,fish,0.76350015,0.26984215
3,tench,fish,0.99880195,0.0011978149
4,tench,fish,0.9999678,3.2424927e-05
5,tench,fish,0.9948748,0.005138397
6,tench,fish,0.99901986,0.0009803772
7,tench,fish,0.99778926,0.0022125244
8,tench,fish,0.99371874,0.00630188
9,tench,fish,0.9963129,0.0036945343
10,tench,fish,0.00017151072,8.670865
11,tench,fish,0.99803585,0.0019664764
12,tench,fish,0.9997851,0.0002155304
13,tench,fish,0.9993938,0.00060653687
14,tench,fish,0.9973494,0.0026550293
15,tench,fish,0.9996613,0.00033950806
16,tench,fish,0.99992025,8.010864e-05
17,tench,fish,0.9999312,6.866455e-05
18,tench,fish,0.9998504,0.0001487732
19,tench,fish,0.991691,0.008343697
20,tench,fish,0.9971751,0.002828598
21,tench,fish,0.97831684,0.021921158
22,tench,fish,0.9995548,0.00044441223
23,tench,fish,0.995182,0.0048294067
24,tench,fish,0.99994373,5.531311e-05
25,tench,fish,0.9447499,0.056835175
26,tench,fish,0.9959877,0.004020691
27,tench,fish,0.9143022,0.08959389
28,tench,fish,0.9999571,4.196167e-05
29,tench,fish,0.9998609,0.00013923645
30,tench,fish,0.99843806,0.0015640259
31,tench,fish,0.99937373,0.00062561035
32,tench,fish,0.27218688,1.3012667
33,tench,fish,0.99989355,0.00010681152
34,tench,fish,0.9987839,0.0012168884
35,tench,fish,0.0790039,2.5382586
36,tench,fish,0.08963906,2.4119644
37,tench,fish,0.99021417,0.00983429
38,tench,fish,0.9995189,0.00048065186
39,tench,fish,0.99931514,0.00068473816
40,tench,fish,0.9999238,7.6293945e-05
41,tench,fish,0.9996891,0.00031089783
42,tench,fish,0.9999355,6.484985e-05
43,tench,fish,0.9999305,6.866455e-05
44,tench,fish,0.9985298,0.0014705658
45,tench,fish,0.9943402,0.0056762695
46,tench,fish,0.99970704,0.0002937317
47,tench,fish,0.99925846,0.0007419586
48,tench,fish,0.9872207,0.012861252
49,tench,fish,0.99928635,0.0007133484
50,goldfish,fish,0.00021556267,8.442259
51,goldfish,fish,0.99707043,0.0029335022
52,goldfish,fish,0.99999535,3.8146973e-06
53,goldfish,fish,0.9999349,6.484985e-05
54,goldfish,fish,0.29208344,1.2307158
55,goldfish,fish,0.9954791,0.0045309067
56,goldfish,fish,0.9413448,0.060445786
57,goldfish,fish,0.9996141,0.00038528442
58,goldfish,fish,0.9999845,1.5258789e-05
59,goldfish,fish,0.9389174,0.06302738
60,goldfish,fish,0.7917801,0.23347187
61,goldfish,fish,0.047193192,3.053506
62,goldfish,fish,0.99864775,0.0013523102
63,goldfish,fish,0.99957734,0.0004234314
64,goldfish,fish,0.99971384,0.0002861023
65,goldfish,fish,0.99976176,0.00023841858
66,goldfish,fish,0.99978465,0.0002155304
67,goldfish,fish,0.38479507,0.95504475
68,goldfish,fish,0.98278344,0.01736641
69,goldfish,fish,0.98903775,0.011022568
70,goldfish,fish,0.90409535,0.10082054
71,goldfish,fish,0.99998,1.9073486e-05
72,goldfish,fish,0.9996202,0.00037956238
73,goldfish,fish,0.10971534,2.2098656
74,goldfish,fish,0.9999895,9.536743e-06
75,goldfish,fish,0.999742,0.00025749207
76,goldfish,fish,0.99896073,0.001039505
77,goldfish,fish,0.9993993,0.0006008148
78,goldfish,fish,0.9999701,3.0517578e-05
79,goldfish,fish,0.17956674,1.7172079
80,goldfish,fish,0.9990895,0.00091171265
81,goldfish,fish,0.99952555,0.0004749298
82,goldfish,fish,0.9999082,9.1552734e-05
83,goldfish,fish,0.9739292,0.026416779
84,goldfish,fish,0.9987219,0.0012798309
85,goldfish,fish,0.9987142,0.0012874603
86,goldfish,fish,0.9986552,0.0013465881
87,goldfish,fish,0.37051654,0.992857
88,goldfish,fish,0.20883721,1.5662003
89,goldfish,fish,0.9291256,0.07351112
